日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/08/29 07:00:00,101.915,101.926,101.899,101.901,101.951,101.968,101.933,101.937
2016/08/29 07:01:00,101.901,101.955,101.896,101.92,101.937,101.991,101.93,101.956
2016/08/29 07:02:00,101.92,101.946,101.901,101.929,101.956,101.973,101.937,101.965
2016/08/29 07:03:00,101.929,101.961,101.929,101.931,101.965,101.997,101.965,101.967
2016/08/29 07:04:00,101.931,101.939,101.925,101.928,101.967,101.975,101.961,101.964
2016/08/29 07:05:00,101.928,101.942,101.914,101.924,101.964,101.978,101.95,101.96
2016/08/29 07:06:00,101.924,101.924,101.913,101.915,101.96,101.96,101.949,101.951
2016/08/29 07:07:00,101.915,101.916,101.905,101.905,101.951,101.952,101.941,101.941
2016/08/29 07:08:00,101.905,101.91,101.893,101.896,101.941,101.949,101.929,101.932
2016/08/29 07:09:00,101.896,101.901,101.888,101.894,101.932,101.937,101.924,101.93
2016/08/29 07:10:00,101.894,101.91,101.893,101.897,101.93,101.938,101.921,101.925
2016/08/29 07:11:00,101.897,101.903,101.885,101.891,101.925,101.931,101.901,101.919
2016/08/29 07:12:00,101.891,101.91,101.877,101.881,101.919,101.927,101.889,101.909
2016/08/29 07:13:00,101.881,101.891,101.875,101.882,101.909,101.923,101.887,101.91
2016/08/29 07:14:00,101.882,101.891,101.878,101.885,101.91,101.916,101.894,101.913
2016/08/29 07:15:00,101.885,101.889,101.871,101.883,101.913,101.916,101.886,101.911
2016/08/29 07:16:00,101.883,101.89,101.864,101.87,101.911,101.911,101.884,101.898
2016/08/29 07:17:00,101.87,101.924,101.861,101.903,101.898,101.942,101.88,101.931
2016/08/29 07:18:00,101.903,101.92,101.883,101.896,101.931,101.937,101.906,101.924
2016/08/29 07:19:00,101.896,101.897,101.886,101.894,101.924,101.925,101.914,101.922
2016/08/29 07:20:00,101.894,101.894,101.87,101.874,101.922,101.922,101.898,101.902
2016/08/29 07:21:00,101.874,101.883,101.874,101.88,101.902,101.911,101.902,101.908
2016/08/29 07:22:00,101.88,101.883,101.863,101.868,101.908,101.911,101.884,101.896
2016/08/29 07:23:00,101.868,101.868,101.862,101.863,101.896,101.896,101.89,101.891
2016/08/29 07:24:00,101.863,101.871,101.841,101.854,101.891,101.899,101.868,101.882
2016/08/29 07:25:00,101.854,101.861,101.84,101.846,101.882,101.885,101.864,101.874
2016/08/29 07:26:00,101.846,101.869,101.829,101.831,101.874,101.88,101.843,101.859
2016/08/29 07:27:00,101.831,101.859,101.825,101.842,101.859,101.875,101.839,101.845
2016/08/29 07:28:00,101.842,101.864,101.824,101.856,101.845,101.884,101.841,101.884
2016/08/29 07:29:00,101.856,101.901,101.852,101.886,101.884,101.917,101.869,101.914
2016/08/29 07:30:00,101.886,101.913,101.884,101.9,101.914,101.931,101.899,101.928
2016/08/29 07:31:00,101.9,101.938,101.899,101.934,101.928,101.954,101.914,101.937
2016/08/29 07:32:00,101.934,101.934,101.9,101.914,101.937,101.937,101.914,101.917
2016/08/29 07:33:00,101.914,101.914,101.889,101.891,101.917,101.931,101.903,101.919
2016/08/29 07:34:00,101.891,101.903,101.884,101.903,101.919,101.92,101.896,101.906
2016/08/29 07:35:00,101.903,101.915,101.887,101.91,101.906,101.933,101.902,101.913
2016/08/29 07:36:00,101.91,101.94,101.897,101.93,101.913,101.965,101.912,101.958
2016/08/29 07:37:00,101.93,101.968,101.93,101.955,101.958,101.984,101.95,101.983
2016/08/29 07:38:00,101.955,102.007,101.954,101.965,101.983,102.021,101.966,101.968
2016/08/29 07:39:00,101.965,101.965,101.926,101.945,101.968,101.982,101.943,101.948
2016/08/29 07:40:00,101.945,101.952,101.932,101.946,101.948,101.97,101.948,101.949
2016/08/29 07:41:00,101.946,101.952,101.937,101.95,101.949,101.955,101.94,101.953
2016/08/29 07:42:00,101.95,101.953,101.941,101.949,101.953,101.956,101.944,101.952
2016/08/29 07:43:00,101.949,101.992,101.949,101.97,101.952,102.002,101.952,101.998
2016/08/29 07:44:00,101.97,101.982,101.95,101.969,101.998,101.998,101.965,101.972
2016/08/29 07:45:00,101.969,101.977,101.952,101.977,101.972,101.994,101.967,101.98
2016/08/29 07:46:00,101.977,101.979,101.964,101.978,101.98,101.997,101.975,101.981
2016/08/29 07:47:00,101.978,101.979,101.972,101.977,101.981,101.982,101.975,101.98
2016/08/29 07:48:00,101.977,101.98,101.972,101.979,101.98,101.983,101.975,101.982
2016/08/29 07:49:00,101.979,102.01,101.97,102.008,101.982,102.016,101.973,102.011
2016/08/29 07:50:00,102.008,102.009,101.994,101.996,102.011,102.012,101.997,101.999
2016/08/29 07:51:00,101.996,101.997,101.969,101.974,101.999,102,101.977,101.977
2016/08/29 07:52:00,101.974,101.982,101.963,101.975,101.977,101.991,101.976,101.978
2016/08/29 07:53:00,101.975,101.985,101.973,101.98,101.978,101.988,101.976,101.983
2016/08/29 07:54:00,101.98,101.98,101.972,101.978,101.983,101.983,101.975,101.981
2016/08/29 07:55:00,101.978,101.978,101.97,101.974,101.981,101.981,101.973,101.977
2016/08/29 07:56:00,101.974,101.974,101.959,101.963,101.977,101.977,101.962,101.966
2016/08/29 07:57:00,101.963,101.963,101.934,101.951,101.966,101.978,101.948,101.954
2016/08/29 07:58:00,101.951,101.954,101.935,101.952,101.954,101.969,101.946,101.955
2016/08/29 07:59:00,101.952,101.952,101.933,101.939,101.955,101.955,101.936,101.942
2016/08/29 08:00:00,101.939,101.963,101.932,101.961,101.942,101.966,101.935,101.964
2016/08/29 08:01:00,101.961,101.968,101.957,101.968,101.964,101.971,101.96,101.971
2016/08/29 08:02:00,101.968,101.968,101.946,101.957,101.971,101.974,101.95,101.96
2016/08/29 08:03:00,101.957,101.96,101.945,101.956,101.96,101.974,101.953,101.959
2016/08/29 08:04:00,101.956,101.957,101.895,101.949,101.959,101.96,101.898,101.952
2016/08/29 08:05:00,101.949,101.951,101.907,101.908,101.952,101.954,101.91,101.911
2016/08/29 08:06:00,101.908,101.957,101.904,101.954,101.911,101.96,101.907,101.957
2016/08/29 08:07:00,101.954,101.965,101.942,101.947,101.957,101.968,101.945,101.95
2016/08/29 08:08:00,101.947,101.949,101.925,101.93,101.95,101.952,101.928,101.933
2016/08/29 08:09:00,101.93,101.93,101.914,101.918,101.933,101.933,101.917,101.921
2016/08/29 08:10:00,101.918,101.932,101.918,101.932,101.921,101.935,101.921,101.935
2016/08/29 08:11:00,101.932,101.954,101.931,101.95,101.935,101.957,101.934,101.953
2016/08/29 08:12:00,101.95,101.95,101.924,101.924,101.953,101.953,101.927,101.927
2016/08/29 08:13:00,101.924,101.933,101.922,101.928,101.927,101.936,101.925,101.931
2016/08/29 08:14:00,101.928,101.929,101.91,101.922,101.931,101.932,101.913,101.925
2016/08/29 08:15:00,101.922,101.929,101.921,101.927,101.925,101.932,101.924,101.93
2016/08/29 08:16:00,101.927,101.929,101.922,101.924,101.93,101.932,101.925,101.927
2016/08/29 08:17:00,101.924,101.925,101.914,101.915,101.927,101.928,101.917,101.918
2016/08/29 08:18:00,101.915,101.916,101.909,101.912,101.918,101.919,101.912,101.915
2016/08/29 08:19:00,101.912,101.92,101.911,101.917,101.915,101.923,101.914,101.92
2016/08/29 08:20:00,101.917,101.93,101.916,101.927,101.92,101.933,101.919,101.93
2016/08/29 08:21:00,101.927,101.939,101.927,101.932,101.93,101.942,101.93,101.935
2016/08/29 08:22:00,101.932,101.937,101.93,101.933,101.935,101.94,101.933,101.936
2016/08/29 08:23:00,101.933,101.933,101.922,101.929,101.936,101.936,101.925,101.932
2016/08/29 08:24:00,101.929,101.94,101.926,101.939,101.932,101.943,101.929,101.942
2016/08/29 08:25:00,101.939,101.939,101.923,101.923,101.942,101.942,101.926,101.926
2016/08/29 08:26:00,101.923,101.927,101.918,101.921,101.926,101.93,101.921,101.924
2016/08/29 08:27:00,101.921,101.922,101.911,101.912,101.924,101.925,101.914,101.915
2016/08/29 08:28:00,101.912,101.935,101.911,101.933,101.915,101.938,101.914,101.936
2016/08/29 08:29:00,101.933,101.953,101.93,101.948,101.936,101.956,101.933,101.951
2016/08/29 08:30:00,101.948,101.959,101.941,101.943,101.951,101.962,101.944,101.946
2016/08/29 08:31:00,101.943,101.962,101.94,101.96,101.946,101.965,101.943,101.963
2016/08/29 08:32:00,101.96,101.974,101.952,101.973,101.963,101.977,101.955,101.976
2016/08/29 08:33:00,101.973,101.988,101.97,101.973,101.976,101.991,101.973,101.976
2016/08/29 08:34:00,101.973,101.977,101.968,101.969,101.976,101.98,101.971,101.972
2016/08/29 08:35:00,101.969,101.973,101.964,101.97,101.972,101.976,101.967,101.973
2016/08/29 08:36:00,101.97,101.972,101.962,101.965,101.973,101.975,101.965,101.968
