日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/11/24 07:00:00,112.471,112.502,112.471,112.501,112.543,112.568,112.543,112.562
2016/11/24 07:01:00,112.501,112.504,112.485,112.501,112.562,112.565,112.559,112.562
2016/11/24 07:02:00,112.501,112.542,112.5,112.51,112.562,112.593,112.553,112.553
2016/11/24 07:03:00,112.51,112.515,112.494,112.509,112.553,112.558,112.538,112.546
2016/11/24 07:04:00,112.509,112.519,112.509,112.518,112.546,112.555,112.546,112.554
2016/11/24 07:05:00,112.518,112.524,112.515,112.518,112.554,112.56,112.551,112.554
2016/11/24 07:06:00,112.518,112.518,112.507,112.511,112.554,112.554,112.543,112.549
2016/11/24 07:07:00,112.511,112.511,112.508,112.511,112.549,112.551,112.548,112.551
2016/11/24 07:08:00,112.511,112.515,112.509,112.514,112.551,112.555,112.549,112.553
2016/11/24 07:09:00,112.514,112.524,112.511,112.511,112.553,112.56,112.547,112.547
2016/11/24 07:10:00,112.511,112.511,112.365,112.39,112.547,112.547,112.407,112.418
2016/11/24 07:11:00,112.39,112.438,112.382,112.418,112.418,112.472,112.412,112.462
2016/11/24 07:12:00,112.418,112.418,112.399,112.401,112.462,112.462,112.443,112.444
2016/11/24 07:13:00,112.401,112.459,112.401,112.438,112.444,112.48,112.436,112.441
2016/11/24 07:14:00,112.438,112.447,112.426,112.426,112.441,112.465,112.436,112.462
2016/11/24 07:15:00,112.426,112.435,112.426,112.426,112.462,112.471,112.462,112.463
2016/11/24 07:16:00,112.426,112.427,112.403,112.403,112.463,112.472,112.463,112.463
2016/11/24 07:17:00,112.403,112.421,112.402,112.418,112.463,112.469,112.459,112.462
2016/11/24 07:18:00,112.418,112.422,112.417,112.422,112.462,112.466,112.461,112.466
2016/11/24 07:19:00,112.422,112.422,112.408,112.412,112.466,112.466,112.451,112.456
2016/11/24 07:20:00,112.412,112.483,112.411,112.469,112.456,112.527,112.455,112.513
2016/11/24 07:21:00,112.469,112.487,112.467,112.486,112.513,112.53,112.511,112.529
2016/11/24 07:22:00,112.486,112.495,112.479,112.492,112.529,112.541,112.525,112.535
2016/11/24 07:23:00,112.492,112.495,112.476,112.479,112.535,112.536,112.52,112.523
2016/11/24 07:24:00,112.479,112.48,112.479,112.48,112.523,112.524,112.523,112.524
2016/11/24 07:25:00,112.48,112.494,112.476,112.481,112.524,112.536,112.52,112.52
2016/11/24 07:26:00,112.481,112.481,112.474,112.479,112.52,112.523,112.513,112.523
2016/11/24 07:27:00,112.479,112.494,112.463,112.476,112.523,112.523,112.492,112.504
2016/11/24 07:28:00,112.476,112.489,112.42,112.474,112.504,112.526,112.45,112.517
2016/11/24 07:29:00,112.474,112.487,112.47,112.475,112.517,112.531,112.514,112.519
2016/11/24 07:30:00,112.475,112.476,112.453,112.456,112.519,112.519,112.497,112.499
2016/11/24 07:31:00,112.456,112.468,112.416,112.419,112.499,112.499,112.459,112.462
2016/11/24 07:32:00,112.419,112.433,112.376,112.421,112.462,112.468,112.4,112.46
2016/11/24 07:33:00,112.421,112.427,112.415,112.424,112.46,112.468,112.459,112.467
2016/11/24 07:34:00,112.424,112.424,112.414,112.415,112.467,112.467,112.457,112.458
2016/11/24 07:35:00,112.415,112.417,112.414,112.416,112.458,112.46,112.457,112.459
2016/11/24 07:36:00,112.416,112.418,112.408,112.408,112.459,112.461,112.451,112.451
2016/11/24 07:37:00,112.408,112.413,112.386,112.388,112.451,112.456,112.43,112.432
2016/11/24 07:38:00,112.388,112.426,112.388,112.396,112.432,112.45,112.426,112.438
2016/11/24 07:39:00,112.396,112.414,112.393,112.409,112.438,112.45,112.436,112.445
2016/11/24 07:40:00,112.409,112.43,112.38,112.389,112.445,112.447,112.418,112.432
2016/11/24 07:41:00,112.389,112.397,112.386,112.395,112.432,112.438,112.429,112.436
2016/11/24 07:42:00,112.395,112.406,112.395,112.406,112.436,112.447,112.436,112.442
2016/11/24 07:43:00,112.406,112.409,112.404,112.409,112.442,112.445,112.44,112.445
2016/11/24 07:44:00,112.409,112.409,112.405,112.407,112.445,112.445,112.441,112.443
2016/11/24 07:45:00,112.407,112.407,112.406,112.407,112.443,112.443,112.442,112.443
2016/11/24 07:46:00,112.407,112.407,112.402,112.403,112.443,112.443,112.438,112.439
2016/11/24 07:47:00,112.403,112.404,112.399,112.401,112.439,112.44,112.436,112.437
2016/11/24 07:48:00,112.401,112.408,112.399,112.408,112.437,112.44,112.435,112.436
2016/11/24 07:49:00,112.408,112.412,112.405,112.406,112.436,112.443,112.433,112.442
2016/11/24 07:50:00,112.406,112.437,112.406,112.435,112.442,112.474,112.442,112.471
2016/11/24 07:51:00,112.435,112.437,112.432,112.433,112.471,112.475,112.468,112.474
2016/11/24 07:52:00,112.433,112.521,112.423,112.516,112.474,112.557,112.459,112.552
2016/11/24 07:53:00,112.516,112.539,112.424,112.469,112.552,112.58,112.431,112.512
2016/11/24 07:54:00,112.469,112.469,112.459,112.468,112.512,112.513,112.504,112.504
2016/11/24 07:55:00,112.468,112.469,112.428,112.429,112.504,112.505,112.464,112.465
2016/11/24 07:56:00,112.429,112.443,112.428,112.443,112.465,112.479,112.464,112.479
2016/11/24 07:57:00,112.443,112.447,112.441,112.447,112.479,112.483,112.477,112.483
2016/11/24 07:58:00,112.447,112.454,112.446,112.451,112.483,112.49,112.482,112.487
2016/11/24 07:59:00,112.451,112.463,112.449,112.456,112.487,112.499,112.485,112.492
2016/11/24 08:00:00,112.456,112.553,112.456,112.508,112.492,112.581,112.492,112.551
2016/11/24 08:01:00,112.508,112.513,112.486,112.498,112.551,112.556,112.523,112.541
2016/11/24 08:02:00,112.498,112.504,112.492,112.502,112.541,112.542,112.527,112.53
2016/11/24 08:03:00,112.502,112.504,112.495,112.498,112.53,112.532,112.498,112.501
2016/11/24 08:04:00,112.498,112.5,112.48,112.499,112.501,112.528,112.501,112.527
2016/11/24 08:05:00,112.499,112.523,112.496,112.504,112.527,112.533,112.507,112.532
2016/11/24 08:06:00,112.504,112.524,112.499,112.512,112.532,112.54,112.513,112.515
2016/11/24 08:07:00,112.512,112.563,112.511,112.56,112.515,112.57,112.514,112.563
2016/11/24 08:08:00,112.56,112.563,112.535,112.537,112.563,112.566,112.538,112.54
2016/11/24 08:09:00,112.537,112.539,112.532,112.534,112.54,112.542,112.535,112.537
2016/11/24 08:10:00,112.534,112.544,112.531,112.54,112.537,112.547,112.534,112.543
2016/11/24 08:11:00,112.54,112.556,112.528,112.556,112.543,112.572,112.541,112.559
2016/11/24 08:12:00,112.556,112.565,112.555,112.56,112.559,112.568,112.558,112.563
2016/11/24 08:13:00,112.56,112.564,112.543,112.551,112.563,112.567,112.546,112.554
2016/11/24 08:14:00,112.551,112.555,112.546,112.553,112.554,112.558,112.549,112.556
2016/11/24 08:15:00,112.553,112.559,112.552,112.554,112.556,112.562,112.555,112.557
2016/11/24 08:16:00,112.554,112.556,112.548,112.55,112.557,112.559,112.551,112.553
2016/11/24 08:17:00,112.55,112.557,112.55,112.553,112.553,112.56,112.553,112.556
2016/11/24 08:18:00,112.553,112.557,112.552,112.557,112.556,112.56,112.555,112.56
2016/11/24 08:19:00,112.557,112.588,112.55,112.584,112.56,112.602,112.555,112.587
2016/11/24 08:20:00,112.584,112.598,112.577,112.598,112.587,112.601,112.58,112.601
2016/11/24 08:21:00,112.598,112.605,112.59,112.596,112.601,112.618,112.593,112.599
2016/11/24 08:22:00,112.596,112.596,112.546,112.564,112.599,112.599,112.565,112.567
2016/11/24 08:23:00,112.564,112.591,112.552,112.589,112.567,112.611,112.565,112.592
2016/11/24 08:24:00,112.589,112.598,112.561,112.583,112.592,112.606,112.584,112.586
2016/11/24 08:25:00,112.583,112.596,112.581,112.595,112.586,112.599,112.584,112.598
2016/11/24 08:26:00,112.595,112.595,112.58,112.584,112.598,112.598,112.583,112.587
2016/11/24 08:27:00,112.584,112.584,112.571,112.572,112.587,112.587,112.574,112.575
2016/11/24 08:28:00,112.572,112.579,112.568,112.577,112.575,112.582,112.571,112.58
2016/11/24 08:29:00,112.577,112.602,112.577,112.602,112.58,112.605,112.58,112.605
2016/11/24 08:30:00,112.602,112.643,112.594,112.634,112.605,112.646,112.597,112.637
2016/11/24 08:31:00,112.634,112.686,112.629,112.683,112.637,112.69,112.632,112.686
2016/11/24 08:32:00,112.683,112.691,112.669,112.68,112.686,112.703,112.672,112.683
2016/11/24 08:33:00,112.68,112.758,112.678,112.694,112.683,112.761,112.681,112.722
2016/11/24 08:34:00,112.694,112.723,112.691,112.699,112.722,112.743,112.702,112.727
2016/11/24 08:35:00,112.699,112.717,112.694,112.714,112.727,112.727,112.697,112.717
2016/11/24 08:36:00,112.714,112.716,112.683,112.707,112.717,112.719,112.686,112.71
2016/11/24 08:37:00,112.707,112.755,112.701,112.715,112.71,112.758,112.704,112.718
2016/11/24 08:38:00,112.715,112.725,112.696,112.71,112.718,112.728,112.699,112.713
2016/11/24 08:39:00,112.71,112.721,112.705,112.716,112.713,112.724,112.708,112.719
2016/11/24 08:40:00,112.716,112.72,112.696,112.698,112.719,112.723,112.699,112.701
2016/11/24 08:41:00,112.698,112.712,112.691,112.692,112.701,112.715,112.694,112.695
2016/11/24 08:42:00,112.692,112.696,112.682,112.689,112.695,112.699,112.685,112.692
2016/11/24 08:43:00,112.689,112.718,112.688,112.717,112.692,112.721,112.691,112.72
2016/11/24 08:44:00,112.717,112.722,112.691,112.701,112.72,112.725,112.694,112.704
2016/11/24 08:45:00,112.701,112.707,112.641,112.641,112.704,112.71,112.644,112.644
2016/11/24 08:46:00,112.641,112.66,112.619,112.655,112.644,112.663,112.622,112.658
2016/11/24 08:47:00,112.655,112.67,112.614,112.618,112.658,112.673,112.617,112.621
2016/11/24 08:48:00,112.618,112.631,112.6,112.605,112.621,112.634,112.603,112.608
2016/11/24 08:49:00,112.605,112.631,112.596,112.623,112.608,112.634,112.599,112.626
2016/11/24 08:50:00,112.623,112.623,112.603,112.617,112.626,112.626,112.606,112.62
2016/11/24 08:51:00,112.617,112.618,112.584,112.591,112.62,112.621,112.587,112.594
2016/11/24 08:52:00,112.591,112.604,112.589,112.603,112.594,112.607,112.592,112.606
2016/11/24 08:53:00,112.603,112.603,112.586,112.596,112.606,112.606,112.589,112.599
2016/11/24 08:54:00,112.596,112.598,112.576,112.584,112.599,112.601,112.579,112.587
2016/11/24 08:55:00,112.584,112.586,112.558,112.564,112.587,112.589,112.561,112.567
2016/11/24 08:56:00,112.564,112.584,112.562,112.579,112.567,112.587,112.565,112.582
2016/11/24 08:57:00,112.579,112.606,112.578,112.601,112.582,112.609,112.581,112.604
2016/11/24 08:58:00,112.601,112.602,112.569,112.574,112.604,112.605,112.572,112.577
2016/11/24 08:59:00,112.574,112.587,112.553,112.559,112.577,112.59,112.556,112.562
2016/11/24 09:00:00,112.559,112.559,112.487,112.509,112.562,112.562,112.49,112.512
2016/11/24 09:01:00,112.509,112.538,112.495,112.518,112.512,112.541,112.498,112.521
2016/11/24 09:02:00,112.518,112.53,112.504,112.519,112.521,112.533,112.507,112.522
2016/11/24 09:03:00,112.519,112.522,112.458,112.496,112.522,112.525,112.465,112.499
2016/11/24 09:04:00,112.496,112.519,112.468,112.514,112.499,112.522,112.471,112.517
2016/11/24 09:05:00,112.514,112.545,112.514,112.528,112.517,112.548,112.517,112.531
2016/11/24 09:06:00,112.528,112.54,112.524,112.533,112.531,112.543,112.527,112.536
2016/11/24 09:07:00,112.533,112.533,112.48,112.507,112.536,112.536,112.483,112.51
2016/11/24 09:08:00,112.507,112.537,112.506,112.529,112.51,112.54,112.509,112.532
2016/11/24 09:09:00,112.529,112.555,112.517,112.539,112.532,112.558,112.52,112.542
2016/11/24 09:10:00,112.539,112.582,112.539,112.577,112.542,112.585,112.542,112.58
2016/11/24 09:11:00,112.577,112.633,112.566,112.62,112.58,112.636,112.569,112.623
2016/11/24 09:12:00,112.62,112.667,112.609,112.664,112.623,112.676,112.623,112.667
2016/11/24 09:13:00,112.664,112.695,112.638,112.669,112.667,112.698,112.65,112.672
2016/11/24 09:14:00,112.669,112.679,112.642,112.642,112.672,112.682,112.645,112.645
2016/11/24 09:15:00,112.642,112.651,112.635,112.643,112.645,112.654,112.638,112.646
2016/11/24 09:16:00,112.643,112.648,112.61,112.626,112.646,112.651,112.613,112.629
2016/11/24 09:17:00,112.626,112.637,112.588,112.6,112.629,112.64,112.591,112.603
2016/11/24 09:18:00,112.6,112.612,112.593,112.596,112.603,112.615,112.596,112.599
2016/11/24 09:19:00,112.596,112.604,112.591,112.596,112.599,112.607,112.594,112.599
2016/11/24 09:20:00,112.596,112.596,112.534,112.534,112.599,112.599,112.537,112.537
2016/11/24 09:21:00,112.534,112.573,112.53,112.546,112.537,112.584,112.533,112.549
2016/11/24 09:22:00,112.546,112.596,112.542,112.595,112.549,112.599,112.545,112.598
2016/11/24 09:23:00,112.595,112.595,112.576,112.585,112.598,112.598,112.579,112.588
2016/11/24 09:24:00,112.585,112.591,112.565,112.585,112.588,112.594,112.568,112.588
2016/11/24 09:25:00,112.585,112.638,112.579,112.622,112.588,112.641,112.582,112.625
2016/11/24 09:26:00,112.622,112.656,112.613,112.629,112.625,112.671,112.62,112.632
2016/11/24 09:27:00,112.629,112.645,112.615,112.616,112.632,112.648,112.618,112.619
2016/11/24 09:28:00,112.616,112.63,112.591,112.625,112.619,112.633,112.594,112.628
2016/11/24 09:29:00,112.625,112.654,112.602,112.605,112.628,112.657,112.605,112.608
2016/11/24 09:30:00,112.605,112.637,112.595,112.624,112.608,112.64,112.606,112.627
2016/11/24 09:31:00,112.624,112.634,112.605,112.605,112.627,112.637,112.608,112.608
2016/11/24 09:32:00,112.605,112.609,112.584,112.594,112.608,112.612,112.587,112.597
2016/11/24 09:33:00,112.594,112.6,112.56,112.597,112.597,112.603,112.563,112.6
2016/11/24 09:34:00,112.597,112.618,112.589,112.602,112.6,112.621,112.592,112.605
2016/11/24 09:35:00,112.602,112.615,112.591,112.612,112.605,112.618,112.594,112.615
2016/11/24 09:36:00,112.612,112.613,112.591,112.597,112.615,112.616,112.594,112.6
2016/11/24 09:37:00,112.597,112.609,112.566,112.599,112.6,112.619,112.575,112.602
2016/11/24 09:38:00,112.599,112.624,112.59,112.621,112.602,112.627,112.593,112.624
2016/11/24 09:39:00,112.621,112.64,112.569,112.624,112.624,112.648,112.572,112.627
2016/11/24 09:40:00,112.624,112.681,112.617,112.635,112.627,112.684,112.62,112.638
2016/11/24 09:41:00,112.635,112.662,112.603,112.616,112.638,112.665,112.606,112.619
